,Average_grazing,Island_d15N__0,Island_d15N__1,Island_d15N__2,Island_d15N__3,Island_d15N__4,Island_d15N__5,Island_d15N__6,Island_d15N__7,Island_d15N__8,Island_d15N__9,Island_d15N__10,Island_d15N__11,Rat_effect,complexity,hc,SD_reef
977,2.4639919218011994,2.7934294246940796,3.9837453841948958,1.5920481217769866,3.484530832962747,3.057498347613212,2.958632959848417,0.32649621833757775,4.074431194491453,3.023264376939944,4.504249332503512,2.2742408274844714,3.056743963765481,-1.074923193786827,0.11771657147436128,0.049852264625594195,1.6995163181718682
978,2.561934190966471,2.8834655673362177,3.9186087919277846,1.6728828388511001,3.3620695800563203,3.0574818215879764,3.044459031962632,0.9292146659327045,4.295135042957208,3.2383617800627365,4.625386282514473,2.48797027882692,3.308481519164572,-1.2052410767534396,0.0847984908178372,0.049947428996491884,1.2119443330697675
979,2.7589296945814064,2.910285614274728,3.914048753121474,1.6448326163409739,3.455561861381973,3.0197583622848647,2.9787450865378347,0.7075070513621449,4.332717740739985,3.4058840432020685,4.695377752476081,2.534876311737866,3.3835361282817984,-1.285679064854979,0.10856656506247951,0.04994872334082969,1.0981584895582885
980,2.6870123331599163,2.783480629439288,3.9303557288006052,1.588010786423833,3.528349777907173,3.235671335250099,3.059727508533149,0.642152679860173,4.113137342412071,3.0830230376670076,4.44096810124378,2.289882037094521,3.1111776619957734,-0.8988830244756765,0.05417975674642287,0.050466543650042335,1.1498912923955646
981,3.329399642296779,3.043920344789114,4.039718119678135,1.6981101312169924,3.483967881706784,3.0941025538552287,3.0703312308674926,1.075677563309778,4.671398761504701,3.7148479905908065,5.0258146045200895,2.8458754673304734,3.63858822572556,-1.4793939168171162,0.05487767696494523,0.05005569872844988,1.1836814346361273
982,3.3774229718758417,3.106080792006591,4.0901685360487425,1.546544164421834,3.724946346554886,3.326978907622181,3.2683364833183552,1.1402792222556226,4.432520033803806,3.4584678813211385,4.785371411362246,2.596586605801603,3.434999991697965,-1.1196523123379714,0.026077043868028622,0.048074675322626145,1.3713571982399457
983,3.10820959007312,2.926402712584817,4.032339387324911,1.705583831477245,3.5749748368639165,3.1652680468822822,3.241928051546185,1.0548452361460323,4.107543049036991,3.1274488632933637,4.418475594802034,2.4224704914888657,3.1984881316987934,-0.9215497117199635,0.09503238130802062,0.04690862704734765,0.9652816520562402
984,3.181645643252023,3.1149337044312317,4.019041487510277,1.6708707935286098,3.6200552782959474,3.300651929762967,3.328878340039185,1.0470337570100483,4.491860252723414,3.458759129029175,4.733145164414211,2.7611488644273656,3.605083869586818,-1.20053020729077,0.06790917445972354,0.04554096927024835,1.5868056420839487
985,2.4768541034551013,2.91162097791291,4.075900551930842,1.6421192639959856,3.488843785544864,3.2183619695878543,3.102914540797517,0.09885408594392833,3.8438295023432207,2.7596622237360773,4.186879068547187,1.9185573325101482,2.7474672758114447,-0.5726348908393285,0.04167255122451879,0.050036287332148856,1.1177233821343375
986,3.2173386729178,3.0299970261770244,4.008484750896796,1.7691136704506119,3.602993733652784,3.255513151827452,3.2045582272579525,0.40088926085853055,3.7425622526613562,2.678799347294521,4.0627607453549714,2.0211953248661474,2.6834410884643702,-0.4641125513730991,0.04820494663701983,0.048772626321257034,1.1744841900899607
