,Mean_biomass,Island_biomass__0,Island_biomass__1,Island_biomass__2,Island_biomass__3,Island_biomass__4,Island_biomass__5,Island_biomass__6,Island_biomass__7,Island_biomass__8,Island_biomass__9,Island_biomass__10,Island_biomass__11,Rat_effect,Structure,Hard_coral,Island_SD,Obs_sigma
1122,1.901968619065002,3.35044090143899,1.1895038840785164,3.9626473033761656,2.7423829072230723,2.622743028157595,1.740383276904958,2.350466198276041,1.8758968139781502,1.055496012955244,2.6940401179498665,0.2138950614291111,3.1238335706526428,-0.8665975858254311,-0.4803936374848387,0.036276751285597694,1.5430907434228485,1.8036887796494916
1123,1.0161263457939482,5.004999584162359,1.0602657850589936,2.175941284592425,1.7807405374424439,-0.14584457619245433,0.3900376776611452,0.3439877882689104,2.336659042553539,0.2857350571397236,1.7352923915704677,0.37625055250134753,0.9203286059189828,-1.880025915808363,1.5315421387239359,0.07075207064322449,1.453522179805125,1.9048398035232068
1124,1.1600864151754562,2.3429871935009805,0.0401236108351481,2.7021420551269566,3.7656686773539643,0.4297071945919086,-0.6908879234266537,2.1828718783457544,0.48498270099961743,1.689464946388579,-1.2480126568458585,-1.6672684018985826,-0.1996184873275524,-1.866019152500948,0.2410570585155832,0.10604382330898666,1.6227241989386112,1.8211892590964724
1125,1.1577781737297965,3.5375700279880875,0.26348273748365114,2.2551227856536924,1.318818517303347,1.1582789681656682,-0.2037255201737937,-0.2930320396136521,1.088637770082312,-0.12919762640521038,1.1768120811060927,-0.29645531294225075,-0.3208755382859178,-1.0411860845657686,0.3968325995702339,0.08231829062424549,1.4796241434598674,1.8535854906700393
1126,0.31660423259290776,0.6412471465962268,0.23471576572330308,1.53365898282351,2.27003120166917,-0.17187347374111117,-0.22618216827392895,1.7721747013945794,0.6742523269147597,1.4082227030209533,-1.459273253824123,-2.327750805403028,-0.8495781007437899,-0.2718226988795048,-0.46545699688704456,0.10718784960550064,1.5390138396184145,1.8824513568897578
1127,0.5052793683399825,4.2944381794800375,-0.22032483476618459,2.9462054012873433,2.310320944568871,1.0887282349673846,-0.5249583731021183,-0.18397324375539117,0.6885408210660406,-0.4830720035847561,0.03464661917041908,-0.7357619163747546,-0.37777234911994023,-1.0303578556739734,1.396494399367182,0.07695733688480878,1.8845800283269827,1.6267668119386705
1128,1.3344144097273494,3.3708568820150204,0.9146630027511278,2.563200634058575,2.8483605705797617,1.1924428802781406,-0.9646628413415455,1.553424080460979,1.3283862880755004,1.560262637021479,0.7400465927692523,0.27141511693997555,0.5910513941317039,-1.2006161194569103,-0.020977299087423712,0.07698471006380754,1.6567759481304893,1.6332859332510237
1129,1.031137231725348,2.247972641293962,1.0073742420178242,2.6491034465401286,2.465811083538977,1.6991226450812416,1.2902562273188694,2.119579901682201,1.2944363645462131,0.7461616920567654,1.4281958476166012,0.44297325633125645,0.7662738882441444,-0.9580831841108605,-0.42096561973845703,0.049623768780602116,0.717728340336911,1.6235857011698152
1130,2.066956976178282,1.4625371178102746,1.0815349542282309,1.4833194886208207,2.9578587333334134,2.721970007561524,0.4533279242114454,2.013561433296174,1.1442344227829535,1.9156426188428424,0.8935669703919601,0.43277518123080455,0.8549782191244475,0.24414180494935794,-0.5832604085453366,0.0526609648745953,1.0533834203241548,1.5740415641395535
1131,2.4650874948216255,2.8104839389849885,1.424968532386691,3.7976153967546753,1.7484122179640091,0.4864763861534443,1.3363394727486313,2.339116446361876,2.794150716900572,0.44184168212522773,2.902119442827981,0.5364914487252453,2.515814841892147,-0.8777580460461274,-0.49756915404751617,0.0418310383394125,1.0647666150858874,1.7612290260870709
1132,1.4098670838236922,2.869326422404802,0.9671175620054516,2.227213389137404,2.059479254874865,2.5154090982052852,2.0296663002290916,2.9337737385873726,1.9647768295284862,1.111036690855309,1.6611330126892212,0.5697689433135278,2.686811549903765,-1.533725048600752,0.04996992687156741,0.057495483821816025,0.7931620985388778,1.5960014155754667
1133,2.2555869392091914,3.2412462572649243,2.4408857211475814,3.3128687857236,2.919004509054153,1.5480089232234255,1.2645836064477136,1.1725120844541579,2.688940477745291,3.0791716296634637,2.8835256400596077,2.6394503204459654,1.2406252824494288,-1.661679951256094,0.44226770513990166,0.053510321277540907,0.7682022310116139,1.9120338518886317
1134,2.6359547706214017,2.918139599691251,2.0137646657510095,2.255979739473986,3.0758511477370183,1.6071038959718476,1.9279276666177714,2.4361418164018778,3.0831449568224594,1.4348820532482633,1.0423583197131212,0.5522413733761439,2.9006741461199015,-2.185288500232118,-0.21862297138549636,0.05324889814805323,0.8091582716001423,1.7322313817608255
1135,1.938343356605431,3.019117627457914,2.6801705038518433,2.0592148186223262,3.024461800615833,2.058166333616284,2.1447640936393015,2.160848111619945,3.160925507415445,1.6507242160891178,0.855090304362214,0.9237129318481331,2.6496953148501765,-1.6165518652372155,-0.5888592248012317,0.06384146970936819,1.2477425195893688,1.74138945298355
1136,2.3804630739959785,4.119007675785416,1.1503347984661327,1.7814106718978413,3.0224944402621117,1.2955465312617187,2.0343811084704537,2.4054953439132514,2.4330793682373524,1.5205211529243101,1.9948195501520796,0.6051808539167132,1.1555757991673834,-0.9194520142917296,-0.9436726330092026,0.04003843383818436,1.078617412640605,1.8428257226409936
1137,1.2945471827435395,1.1003760295971101,0.7201319985919425,3.083894938156265,3.0808972893212982,1.6535229340411193,0.6919739059696103,1.0383075389745435,2.080099516038068,1.5267827677201424,2.1491200737692147,0.3980169334538081,1.7838372748152915,-0.8527983591473559,-1.1113155489055053,0.060151134117125846,0.9065490894067054,1.6293614631186175
1138,1.7805237794017768,2.926865369701653,2.2158081573360846,4.166704357143655,2.014730613227663,1.9196332816515513,-0.3752725105914511,1.5077008781708887,1.586532884495588,0.7510978128242026,1.639770221711799,1.7010015540728758,0.8664570092106333,-1.2722815098175273,0.617366518800481,0.06569450752879796,1.2698299340116614,1.8620077075331283
1139,4.728681742104057,6.1962329841254835,2.8744312702013555,3.7065469127093174,3.823331053448157,2.8467608656498724,4.303880834786878,4.021494715776973,4.873317797905963,4.0251472149256085,6.390792954357978,2.7324525853485095,4.941549256222885,-3.0439619839303944,0.19022626874824605,0.005819506612603468,1.4850275420035886,1.4525701503357813
