Tissue,Atoll,Island,TNI_reef_area,Reef_area,To_shore_m,Treatment,cal_d13C,cal_perc_C,cal_d15N,cal_perc_N,CN_ratio
Turf,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-16.98,15.99,5.39,1.68,9.5
Turf,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-16.57,15.75,5.81,1.4,11.28
Turf,Great_Chagos_Bank,South_Brother,172.44,16.8,150,No_rats,-17.46,11.82,5.66,1.2,9.83
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-14.89,14.2,5.31,1.25,11.37
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-17.53,17.37,5.77,1.47,11.83
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-16.9,16.35,5.81,1.44,11.37
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-16.03,14.98,5.54,1.35,11.12
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-14.58,12.4,5.14,1.18,10.5
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-16.89,9.02,6.05,0.85,10.65
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-18.45,12.29,5.07,1.17,10.48
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-14.78,3.67,3.19,0.41,8.87
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-19.88,9.6,5.75,0.83,11.56
Turf,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,175,No_rats,-28.2,11.18,4.66,1.34,8.36
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-18.5,18.07,5.38,1.71,10.56
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-18.85,14.02,5.26,1.46,9.64
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-16.89,17.16,5.24,1.31,13.08
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-18.06,14.23,4.79,1.34,10.61
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-16.67,18.67,5.43,1.3,14.36
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-27.82,8.2,4.89,1.03,7.97
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-18.23,10.21,5.65,0.81,12.62
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-17.04,9.45,5.49,1.03,9.17
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-17.4,9.83,5.06,1.13,8.73
Turf,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,300,Rats,-16.95,12.67,5.38,1.11,11.37
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-16.05,12.78,4.78,1.17,10.91
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-17.06,11.14,4.77,1.35,8.28
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-20.13,6.93,5.08,0.89,7.76
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-23.68,6.58,5.18,0.94,7.03
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-16.49,13.77,4.29,1.22,11.33
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-20.82,10.97,4.74,1.65,6.66
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-16.32,11.37,5.03,1.38,8.22
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-18.68,9.86,4.8,1.43,6.89
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-16.53,11.39,4.7,1.47,7.75
Turf,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-17.08,12.05,4.5,1.26,9.55
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-16.7,15.02,5.71,1.25,12.04
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-17.9,12.76,5.34,1.17,10.91
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-18.38,18.16,5.58,1.31,13.88
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-16.74,11.17,6.73,1.35,8.26
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-10.81,13.76,4.78,0.91,15.2
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-16.95,14.6,5.63,1.18,12.33
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-15.97,12.73,5.32,1.21,10.51
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-18.09,12.67,5.04,1.32,9.58
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-15.46,13.42,5.46,1.8,7.44
Turf,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-12.98,14.39,5.79,1.65,8.74
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-16.46,14.92,5.33,1.28,11.67
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-15.97,13.06,4.65,1.24,10.5
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-16.26,12.13,5.37,1.02,11.89
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-18.07,14.15,5.18,1.09,12.97
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-15.65,7.88,5.2,0.69,11.38
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-17.12,8.59,5.47,0.83,10.4
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-17.5,9.9,4.72,1.09,9.1
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-14.67,9.77,4.92,1,9.76
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.9,10.9,5.11,0.87,12.46
Turf,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-17.49,11.98,5.03,1.1,10.86
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.54,14.56,4.49,1.11,13.11
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-11.01,2.2,4.17,0.21,10.3
