Tissue,Atoll,Island,TNI_reef_area,Reef_area,To_shore_m,Treatment,cal_d13C,cal_perc_C,cal_d15N,cal_perc_N,CN_ratio
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.03,45.78,10.23,14.25,3.21
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.6,44.03,9.78,14.1,3.12
Fish,Peros_Banhos,Ile_Longue,206.42,6.1,215,No_rats,-15.49,44.68,10.03,14.51,3.08
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.21,45.61,10.54,14.45,3.16
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.14,41.61,10.12,12.83,3.24
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.4,44.8,10.35,14.31,3.13
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.34,45.34,10.32,14.38,3.15
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.15,44.36,10.33,14.04,3.16
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.58,42.07,10.47,13.16,3.2
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.61,43.02,10.69,13.59,3.17
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14.14,42.5,10.31,13.77,3.09
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-13.93,42.33,10.48,13.83,3.06
Fish,Peros_Banhos,Ile_Poule,0.04,19.1,280,Rats,-14,40.79,10.26,13.26,3.08
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.55,44.37,10.71,14.09,3.15
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.81,42.03,10.56,13.55,3.1
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.75,46.07,10.45,14.35,3.21
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-14.25,45.61,10.91,14.2,3.21
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-12.97,46,9.96,14.46,3.18
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-14.44,45.71,11.06,14.3,3.2
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.13,43.15,9.69,14.33,3.01
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.27,41.59,10.74,13.59,3.06
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-13.46,44.37,10.5,14.11,3.14
Fish,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,240,Rats,-14.22,42.79,10.07,13.81,3.1
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.65,45.55,11.13,14.21,3.21
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.6,43.16,10.99,13.45,3.21
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-14.55,44.51,10.59,13.89,3.2
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.48,38.46,11.1,12.08,3.19
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-14.83,46.24,10.98,14.2,3.26
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.75,45.59,10.89,14.44,3.16
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.74,46.69,10.68,14.52,3.22
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.64,44.9,11.05,14.28,3.14
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.27,43.69,10.93,13.82,3.16
Fish,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.97,42.56,10.88,13.55,3.14
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-15.78,46.08,10.89,14.3,3.22
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-13.52,44.05,10.29,13.78,3.2
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-13.74,47.92,9.95,14.72,3.26
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-14.26,46.8,10.71,14.36,3.26
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-16.13,45.7,10.55,14.4,3.17
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-15.16,45.21,10.39,14.05,3.22
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-13.42,45.07,10.44,14.18,3.18
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-14.27,45.02,10.4,14.23,3.16
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-13.77,44.11,11.39,14.16,3.12
Fish,Salomon,Ile_Fouquet,2.44,16,130,Rats,-14.1,43.16,10.84,13.59,3.17
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-14.57,45.53,10.26,14.1,3.23
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-13.38,41.97,9.98,13.15,3.19
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-14.5,44.68,10.72,14.02,3.19
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-14.09,42.13,9.99,13.14,3.21
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-13.74,46.09,10.3,14.33,3.22
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-14.89,45.54,10.1,14.27,3.19
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-14.36,43.2,10,13.68,3.16
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-13.32,43.86,10.13,13.57,3.23
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-13.67,44.5,10,14.11,3.15
Fish,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-14.74,42.35,10.68,13.09,3.24
Halimeda,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-20.9,6.19,6.11,0.57,10.92
Halimeda,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-21.25,4.79,3.99,0.31,15.49
Halimeda,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-19.3,6.16,4.52,0.37,16.51
Halimeda,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-20.72,5.39,5.14,0.39,13.96
Halimeda,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-19.72,4.38,5.18,0.33,13.36
Halimeda,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-19.74,7.01,4.21,0.39,17.94
Halimeda,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-20.06,9.27,4.83,0.58,16.11
Halimeda,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-20.61,5.94,6.82,0.51,11.6
Halimeda,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-20.43,5.78,4.32,0.38,15.36
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-17.01,7.05,13.62,0.83,8.46
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-16.9,4.96,13.73,0.71,7.03
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-16.68,5.6,13.62,0.65,8.57
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-16.5,5.6,12.67,0.65,8.66
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-17.54,5.71,10.9,0.78,7.31
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-19.4,5,11.13,0.71,7.07
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-18.2,6.97,11.16,0.97,7.15
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-16.98,6.04,13.99,0.86,7.05
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-17.53,6.63,13.57,0.92,7.2
Halimeda,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-17.19,7.62,11.18,1,7.6
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-14.86,8.15,7.63,0.74,11.03
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-16.27,7.37,7.06,0.73,10.03
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-15.58,8.57,7.38,0.77,11.12
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-18.73,7.01,10.11,0.87,8.07
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-14.26,9.1,8.8,0.75,12.17
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-15.91,6.64,7.73,0.63,10.53
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-15.36,6.13,9.39,0.68,9.07
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-17.08,5.91,9.27,0.74,7.94
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-16.33,7.89,7.46,0.8,9.84
Halimeda,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-15.13,7.2,8.3,0.74,9.77
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-17.91,57.49,9.54,3.64,15.78
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-18.65,5.68,9.72,0.62,9.13
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-17.6,41.73,9.89,2.44,17.08
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-17.87,33.49,8.95,2.04,16.38
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-18.72,32.57,10.06,1.81,18.05
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-15.5,43.03,9.39,2.01,21.41
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-18.13,11.29,9.97,1.24,9.13
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-18.22,9,10.89,1.17,7.7
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-18.57,6.86,9.68,0.75,9.17
Halimeda,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-17.79,9.29,9.66,0.95,9.73
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-20.02,7.09,5.91,0.68,10.35
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-20.47,6.12,5.07,0.63,9.76
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-20.73,5.29,4.74,0.51,10.35
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-19.53,5.51,5.25,0.51,10.79
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-20.47,5.3,4.74,0.46,11.53
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-20.8,6.57,5.1,0.6,10.94
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-19.09,4.59,5.95,0.5,9.25
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-20.13,5.71,5.65,0.57,10.09
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-19.72,7.28,5.74,0.86,8.46
Halimeda,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-20.02,10.24,5.51,1.09,9.4
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-19.55,6.1,3.53,0.47,12.87
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-20.56,6.65,3.64,0.57,11.82
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-21.25,8.48,3.09,0.53,16.08
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-21.25,6.58,3.78,0.55,12.04
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-21.89,4.78,3.7,0.44,10.88
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-19.54,6.97,3.94,0.61,11.44
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-21.72,3.66,3.89,0.34,10.66
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-21,5.88,3.54,0.54,10.86
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-20.89,5.73,3.73,0.54,10.56
Halimeda,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-21.12,3.84,4.32,0.31,12.49
Halimeda,Peros_Banhos,Ile_Longue,206.42,6.1,NA,No_rats,-17.94,7.74,6.42,0.63,12.27
Halimeda,Peros_Banhos,Ile_Longue,206.42,6.1,NA,No_rats,-19.32,4.41,6.76,0.51,8.68
Halimeda,Peros_Banhos,Ile_Longue,206.42,6.1,NA,No_rats,-17.3,4.71,6.45,0.53,8.92
Halimeda,Peros_Banhos,Ile_Longue,206.42,6.1,NA,No_rats,-17.46,6.08,6.5,0.59,10.29
Halimeda,Peros_Banhos,Ile_Longue,206.42,6.1,NA,No_rats,-18.93,15.79,6.57,1.43,11.01
Halimeda,Peros_Banhos,Ile_Longue,206.42,6.1,NA,No_rats,-18.02,4.31,6.94,0.4,10.84
Halimeda,Peros_Banhos,Ile_Longue,206.42,6.1,NA,No_rats,-18.09,4.78,6.86,0.51,9.45
Halimeda,Peros_Banhos,Ile_Longue,206.42,6.1,NA,No_rats,-16.26,4.2,6.97,0.45,9.35
Halimeda,Peros_Banhos,Ile_Longue,206.42,6.1,NA,No_rats,-18.42,5.27,6.8,0.51,10.42
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-20.56,7.24,3.48,0.59,12.35
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-20.91,5.31,3.72,0.5,10.59
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-21.05,7.9,3.61,0.5,15.79
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-19.42,3.82,4.01,0.35,11
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-19.83,4.27,3.64,0.38,11.13
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-20.75,5.82,3.27,0.4,14.74
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-20.75,3.54,4.25,0.29,12.07
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-18.81,3.07,4,0.26,11.98
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-20.54,4.95,3.78,0.33,14.82
Halimeda,Peros_Banhos,Ile_Poule,0.04,19.1,NA,Rats,-20.55,7.41,3.62,0.63,11.75
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-16.61,4.67,5.28,0.42,10.99
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-17.74,4.16,5,0.37,11.14
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-12.93,8.46,-1.21,0.81,10.46
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-18.45,5.89,5.06,0.53,11.21
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-17.65,3.82,5.66,0.35,11.05
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-17.49,4.55,5.32,0.42,10.86
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-17.93,5.94,4.97,0.46,12.93
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-19.05,5.73,4.88,0.5,11.49
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-16.62,3.63,4.36,0.31,11.78
Halimeda,Peros_Banhos,PB_Ile_Anglaise,0.53,6.6,NA,Rats,-17.4,3.05,5.17,0.3,10.15
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-22.69,4.41,4.4,0.51,8.58
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-21.08,4.93,4.73,0.49,10.1
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-21.19,4.14,4.91,0.44,9.37
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-22.28,3.54,4.75,0.42,8.51
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-17.92,4.61,4.43,0.39,11.9
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-22.89,3.59,4.78,0.44,8.25
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-20.27,2.77,4.78,0.33,8.4
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-19.16,4.84,4.75,0.39,12.36
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-21.15,8.02,4.28,0.83,9.67
Halimeda,Salomon,Ile_de_la_Passe,6.06,18.1,NA,No_rats,-21.53,8.85,4.34,0.91,9.69
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-16.28,9.69,5.07,1.05,9.26
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-17.94,10.82,5.4,1.33,8.14
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-17.42,14.5,5.29,1.98,7.31
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-20.99,10.05,4.84,1.49,6.76
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-17.3,8.41,5.17,1.06,7.95
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-17.67,10.66,5.3,1.54,6.93
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-15.48,10.7,5.24,1.51,7.11
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-20.94,7.99,5.1,1.25,6.42
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-15.8,13.27,5.38,1.76,7.56
Halimeda,Salomon,Ile_Fouquet,2.44,16,NA,Rats,-17.58,10.07,5.12,1.46,6.88
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-13.81,15.73,3.11,1.44,10.91
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-15.77,10.56,4.68,1.36,7.75
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-15.48,10.75,3.54,1.09,9.85
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-16.53,9.34,4.74,1.2,7.76
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-14.91,10.93,5.05,1.13,9.63
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-17.12,13.75,3.51,1.19,11.6
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-16.16,6.96,4.09,0.87,8.01
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-18.73,8.92,2.72,1.51,5.9
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-16.91,8.47,4.73,1.05,8.06
Halimeda,Salomon,Sal_Ile_Anglaise,0.16,23.5,NA,Rats,-13.05,16.08,3.99,1.41,11.42
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-27.05,47.72,-3.48,1.57,30.37
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-27.47,52.91,-1.87,1.69,31.46
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-27.57,44.91,-2.09,1.85,24.27
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-28.18,49.4,-2.52,1.7,29.11
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-27.27,46.06,-2.52,1.6,28.73
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-26.61,46.93,-2.84,1.99,23.6
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-27.77,45.8,-4.03,2.05,22.37
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-27.87,51.61,-2.08,1.68,30.7
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-28.81,49.54,-2.93,1.51,32.76
Leaves,Great_Chagos_Bank,Eagle,0.22,25.8,NA,Rats,-27.74,51.43,-1.85,1.49,34.54
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-26.88,49.35,8.35,2.04,24.16
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-27.01,52.62,8.6,1.85,28.52
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-28.23,47.01,8.15,2.09,22.47
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-28.63,49.35,7.73,1.92,25.65
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-26.41,47.58,9.4,2.2,21.63
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-28.1,48.18,8.98,2.12,22.76
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-27.84,52.57,8.86,2.16,24.39
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-27.33,52.35,9.96,1.72,30.45
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-27.54,52.5,10.83,1.83,28.72
Leaves,Great_Chagos_Bank,Middle_Brother,424.83,16.9,NA,No_rats,-27.14,53.25,7.51,1.56,34.11
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-25.91,45.87,5.95,2.41,19.07
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-28.49,51.09,5.83,2.21,23.08
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-25.7,47.71,8.04,2.4,19.87
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-26.31,43.68,6.91,2.06,21.19
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-24.66,47.67,8.43,2.01,23.72
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-27.32,44.14,8.23,2.41,18.35
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-26.53,53.28,7.7,1.82,29.27
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-28.68,49.28,6.46,2.44,20.18
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-26.75,51.82,8.65,2.13,24.38
Leaves,Great_Chagos_Bank,Nelson_Island,119.33,31.8,NA,No_rats,-29.19,50.78,8.35,1.95,26.04
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-27.47,48.7,8.59,1.92,25.39
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-26.01,49.23,12.47,1.53,32.2
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-26.37,51.42,11.81,1.66,30.95
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-27.11,49.81,10.82,1.58,31.46
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-26.74,47.43,12.77,1.85,25.68
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-26.9,50.46,12.03,1.74,28.93
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-26.57,50.84,10.82,1.61,31.61
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-26.85,52.48,11.86,1.96,26.84
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-27.14,51.16,13.49,1.86,27.58
Leaves,Great_Chagos_Bank,South_Brother,172.44,16.8,NA,No_rats,-27.32,50.75,11.19,1.89,26.89
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-26.1,47.17,10.72,2.18,21.63
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-29.19,44.19,11.63,3.02,14.62
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-27.02,43.35,10.52,2.55,17.02
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-29.02,43.58,10.61,2.5,17.4
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-27.48,37.27,12.21,2.09,17.85
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-28.49,46.55,10.69,2.69,17.33
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-27.35,50.35,10.72,2.27,22.22
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-27.59,49.39,12.02,2.44,20.23
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-26.9,48.67,10.95,2.06,23.58
Leaves,Peros_Banhos,Grande_Ile_Coquillage,213.46,36.7,NA,No_rats,-25.89,44.91,12.5,1.95,23.03
Leaves,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-25.54,46.3,-2.87,1.8,25.87
Leaves,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-25.08,50.84,-0.13,1.61,31.59
Leaves,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-25.84,48.53,6.46,1.9,25.53
Leaves,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-24.67,50.48,-0.93,1.88,26.8
Leaves,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-25.4,49.16,-1.35,1.68,29.19
Leaves,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-26.49,44.64,-0.02,1.85,24.08
Leaves,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-25.7,45.55,-1.91,1.83,24.88
Leaves,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-25.03,51.38,6.15,1.71,30.06
Leaves,Peros_Banhos,Grande_Ile_Mapou,1.16,11.5,NA,Rats,-24.51,51.76,6.31,1.74,29.77
