Treatment,Atoll,Island,Transect,grazing_prop_reef,Erosion_t_ha,Structural_complexity,Coral_cover
No_rats,Great_Chagos_Bank,Middle_Brother,1,11.80074065,155.0137871,3,6.33
No_rats,Great_Chagos_Bank,Middle_Brother,2,11.30333892,121.6148443,2.987179487,40.33
No_rats,Great_Chagos_Bank,Middle_Brother,3,3.511624085,62.01323565,2,23.692
No_rats,Great_Chagos_Bank,Middle_Brother,4,2.211482461,34.85222823,2,32
No_rats,Great_Chagos_Bank,Nelson_Island,1,18.56702737,154.6585008,1.5,12.67
No_rats,Great_Chagos_Bank,Nelson_Island,2,2.08805364,13.38369708,2,27.33
No_rats,Great_Chagos_Bank,Nelson_Island,3,53.09988232,284.4451793,1.5,16.33
No_rats,Great_Chagos_Bank,Nelson_Island,4,44.6970577,146.9999214,2,12
No_rats,Great_Chagos_Bank,South_Brother,1,5.258346941,27.00925887,2,11.67
No_rats,Great_Chagos_Bank,South_Brother,2,1.134313015,0.373842072,2,18.67
No_rats,Great_Chagos_Bank,South_Brother,3,5.218120902,11.448122,2,13
No_rats,Great_Chagos_Bank,South_Brother,4,4.578701008,4.569876613,1.5,10
No_rats,Peros_Banhos,Grande_Ile_Coquillage,1,25.97936877,262.4769774,2,18.83
No_rats,Peros_Banhos,Grande_Ile_Coquillage,2,6.720791119,3.500270343,2.5,24.33
No_rats,Peros_Banhos,Grande_Ile_Coquillage,3,27.31211819,205.4941102,2.5,18.33
No_rats,Peros_Banhos,Grande_Ile_Coquillage,4,4.285243131,10.25342685,1.5,28.67
No_rats,Peros_Banhos,Ile_Longue,1,19.23401621,108.1753137,2,22
No_rats,Peros_Banhos,Ile_Longue,2,20.17416388,152.1896787,2,24.33
No_rats,Peros_Banhos,Ile_Longue,3,3.5912144,24.50724854,3,29.33
No_rats,Peros_Banhos,Ile_Longue,4,12.722112,206.0362782,2.5,38.33
No_rats,Salomon,Ile_de_la_Passe,1,115.4357604,1344.902606,2,71.67
No_rats,Salomon,Ile_de_la_Passe,2,28.15023159,349.1075904,2,65.67
No_rats,Salomon,Ile_de_la_Passe,3,3.92090411,79.56320096,1.5,33.67
No_rats,Salomon,Ile_de_la_Passe,4,0,0,2,28.67
Rats,Great_Chagos_Bank,Eagle,1,0.713457333,1.348747947,2,12.67
Rats,Great_Chagos_Bank,Eagle,2,3.392239397,4.820194834,1.5,16.33
Rats,Great_Chagos_Bank,Eagle,3,0,0,1.5,22
Rats,Great_Chagos_Bank,Eagle,4,0,0,1.5,19
Rats,Peros_Banhos,Grande_Ile_Mapou,1,5.923400346,44.18978628,3,21.67
Rats,Peros_Banhos,Grande_Ile_Mapou,2,15.87136575,200.0344434,3,25.33
Rats,Peros_Banhos,Grande_Ile_Mapou,3,9.31908921,110.4983816,3,20.67
Rats,Peros_Banhos,Grande_Ile_Mapou,4,1.151802157,17.92482927,3,24.66934783
Rats,Peros_Banhos,Ile_Poule,1,1.451218878,31.54979041,2,24.33
Rats,Peros_Banhos,Ile_Poule,2,1.117440494,1.9865298,3,32.67
Rats,Peros_Banhos,Ile_Poule,3,0,0,3,14.02849057
Rats,Peros_Banhos,Ile_Poule,4,7.148355772,120.03452,3,27.67
Rats,Peros_Banhos,PB_Ile_Anglaise,1,3.655156489,77.63480236,2.5,15.67
Rats,Peros_Banhos,PB_Ile_Anglaise,2,1.681921989,3.976673537,2,10.83
Rats,Peros_Banhos,PB_Ile_Anglaise,3,2.224980191,12.77557551,3,12.5
Rats,Peros_Banhos,PB_Ile_Anglaise,4,24.02514453,242.8551821,2.5,19.5
Rats,Salomon,Ile_Fouquet,1,18.62020601,168.4890788,3,50.33
Rats,Salomon,Ile_Fouquet,2,3.7497544,27.72772697,3,53.33
Rats,Salomon,Ile_Fouquet,3,2.196330811,21.27465352,3,41
Rats,Salomon,Ile_Fouquet,4,0,0,2,50
Rats,Salomon,Sal_Ile_Anglaise,1,2.305145865,0.415798952,3,44
Rats,Salomon,Sal_Ile_Anglaise,2,13.46391994,151.342658,3,36.67
Rats,Salomon,Sal_Ile_Anglaise,3,8.956592017,71.57395987,3,46.67
Rats,Salomon,Sal_Ile_Anglaise,4,12.94527541,111.0957697,2.5,37.33
