,Mean_d15N,Island_d15N__0,Island_d15N__1,Island_d15N__2,Island_d15N__3,Island_d15N__4,Island_d15N__5,Island_d15N__6,Island_d15N__7,Island_d15N__8,Island_d15N__9,Island_d15N__10,Island_d15N__11,Organism___0,Organism___1,Organism___2,Organism___3,Organism___4,Rat_effect___0,Rat_effect___1,Rat_effect___2,Rat_effect___3,Rat_effect___4,Rat_effect___5,Dist_to_shore,SD_reef,SD
1641,8.69054869796039,9.063246894317535,8.895959171483879,10.673987240504587,9.515539234030529,9.094792531802979,9.020683966330488,8.989857944539658,8.940265325108783,7.671131460501401,10.345740899569256,8.25771157211283,9.464697235370672,-2.591334517839629,-0.12177666734448145,3.9115267655723756,-2.08018340792458,-5.597349219362338,-0.7729420344161794,-2.1917376974507112,-11.30773523497564,-10.004644482798218,-0.4225321393147886,-0.732557225668356,2.702442678759033,1.1616377542026948,1.0112108949766956
1642,8.73757445764723,9.551733269534632,8.360004104113045,10.660017341240165,9.397414967797607,9.172022330292851,8.926278411738776,9.440507313315097,9.145706846206275,7.5631752206011456,11.092999030841227,8.564630164146838,9.385579576123522,-1.9713981236695162,0.4091146019614555,3.9906070131057385,-1.8292366384040597,-6.0645086593600075,-2.119766880636057,-3.128522880486841,-12.55382459448687,-10.40182691329167,-1.5818591631479322,-1.5081102577506826,3.9131209889205043,1.008091251755233,0.9614958438219329
1643,9.09234770825489,9.439273497171348,8.39249572972743,10.66203469147746,9.302752402699527,9.344730954797551,9.072855325329407,9.075931888458074,9.824893436692905,7.305047502969364,11.066452565811765,8.390016440851024,9.164345593963732,-1.915781832441101,0.29323304710882786,3.991432199680104,-1.708741268274358,-6.123463047930211,-1.7368536633591738,-3.33916882406852,-12.184751715818948,-10.437316508360533,-1.2601492346218846,-1.7179273054121929,3.54327007836488,0.882734096969221,0.9769570676688125
1644,9.074145771791516,9.231751756182685,8.935745133145387,10.83320431810226,9.295963348624941,9.293343251729636,9.414261462989321,9.13190631958813,9.084925603840105,7.640582141224575,10.169831089298954,8.367972975165799,9.565150264863473,-2.0214137673379895,-0.030202120581245554,3.857887083373456,-2.0090899376886653,-5.776103711167341,-1.246361525360665,-2.7486643819586143,-11.582285573538927,-9.925411212978581,-1.0233920987260394,-0.924307179744141,2.8608838476589034,1.052156082592823,0.9956221247525323
1645,9.280376121146789,9.16130798474601,8.829743786212251,10.728561995076083,9.785799700242029,8.579912835717845,8.67950545247226,8.775057919444002,9.147101324474411,7.270793756268235,10.534275215701912,8.126281880726902,9.508433776049436,-1.9990990461540175,0.14288589525906872,3.620382941648564,-1.890087057593441,-5.975006345674525,-0.9304260440695911,-2.69977004185815,-12.087383401926319,-9.843038814854273,-0.7170302234405073,-0.5885064060050489,3.156752820010174,0.7853466112188217,1.0246788574335421
1646,10.2821879152122,10.444626290831259,9.197310387614506,11.03971365337967,9.956574164843895,10.399794290025962,9.135086680542749,10.275081448786702,10.521059814550807,7.745887016662085,11.69656874165377,9.337956656649236,9.948649472690315,-2.3166426285633035,-0.2514436833060278,3.6339301759336,-2.0794938063461545,-5.957355514437539,-2.0870766839806354,-3.760156360730145,-12.709114450488231,-10.89801430502679,-2.0527003497332372,-2.0770397214039593,2.7382711132665336,1.2040400013042123,0.9171225541465908
1647,10.09620450056335,10.69744208132441,8.962660825348502,10.848943579853458,9.93086655616243,10.145023447765427,9.429510061371461,10.049253600331744,10.313830370293328,7.6732093099496215,11.841503239934973,9.71133443254372,9.942022227705795,-2.368426110845188,0.07077624714092673,3.5316565535531277,-2.4012167524395545,-6.034505350484189,-2.2474864414564832,-3.7679041545500063,-12.985793272290524,-11.025157915098367,-1.7249696931479064,-1.5362698406724984,2.8267910907797993,1.183000288326624,0.9061085919932528
1648,9.687245321646062,10.422046478660773,8.755504935467185,10.931404689541107,9.250145536449423,10.261034666184,8.925534265713361,10.185352403191594,10.423766524084684,7.4700912917205935,12.020476306801541,9.092038975226199,9.337003390930647,-2.243847794406641,-0.07543527043530697,4.074083686696959,-1.749216547214412,-6.125588021637644,-2.5993224602731653,-3.9896081804409596,-12.860590117800465,-11.071097558561496,-2.3926323444340456,-2.2996168924414664,3.3957173601451482,0.8595823046965281,1.0357088624025168
1649,9.513228727288656,10.411788298386044,8.826390013731931,10.794482642336153,9.719422239749113,10.088788091324162,9.297365580958676,10.147238864191351,10.426744952443002,7.586653156099684,11.576960643728572,9.21353820714054,9.687850718297245,-2.02700253896024,0.07190267615314819,3.4642366484066827,-2.3032631227792435,-5.922788998939622,-2.2463480153639885,-4.035352848747219,-12.992981247364435,-11.031120293600061,-1.7825700113202323,-1.9978349310324823,2.9926552084046736,1.2855769133607526,0.91643022952066
1650,9.869719656375496,10.17844470794886,9.083252386648937,10.99241282884402,9.614716107845743,10.019553967083564,9.175351451898727,9.784443035197588,9.952683112909174,7.684211157392732,11.364317209404986,9.329851712723947,9.728451915642982,-2.5272285132786054,-0.18525832589882746,4.054195118327668,-1.8473057805836595,-6.094207294808078,-2.1108451274910016,-2.9602459682184428,-12.479887755960416,-11.099368045628985,-2.073014263458798,-1.6597829165775004,3.1489592366484254,1.2256247962915345,0.9275927636885309
1651,8.603075765927715,8.372609048990274,8.821920472275204,10.648172511412064,9.289037285047364,8.198183730743601,9.13681861737061,8.00805499715753,8.350286533302413,7.323398559453301,9.77920926190962,7.366576269446825,9.201896764989081,-2.0853566116850546,-0.17272586180425137,3.9686858249941532,-2.0161839943324096,-5.786097980793882,-0.6485842036357773,-1.640541828751944,-10.988191152959825,-9.08352203285075,-0.13461731227358928,-0.3470407435730596,3.3342596545455465,0.9194427274560135,0.932200977237157
1652,8.969365973647038,8.447306171435889,8.858436412418005,10.894122109205965,9.626445225882904,8.049555953182136,8.915927034842651,8.209499605143442,8.209481434886285,7.464777560306553,9.566098683778149,7.543135467122232,9.694061231155322,-2.013717308592096,0.03847475759910417,3.641703868674344,-1.6842416312452826,-5.8880765527477905,-0.010283854457549271,-2.31282418912355,-11.109590092678356,-9.031811803016188,-0.3829419945680043,0.16763464231180958,2.8387592168842164,1.2934796582192443,0.9767889515345296
