,Average_grazing,Island_d15N__0,Island_d15N__1,Island_d15N__2,Island_d15N__3,Island_d15N__4,Island_d15N__5,Island_d15N__6,Island_d15N__7,Island_d15N__8,Island_d15N__9,Island_d15N__10,Island_d15N__11,Rat_effect,complexity,hc,SD_reef
529,0.4294871149017295,-0.27652787437478044,2.076447076986936,-0.17349610750157243,1.2457937649567365,0.7963125537113755,0.9559486331125157,0.4827908275941246,1.7896185143406254,0.5164227295838753,2.2748289150523977,0.3382120696919348,1.0952322407791757,-1.4896497959980937,0.35306056586658235,0.03451788646981919,1.3194736329868337
530,1.1785865499614312,0.5331794092999348,2.3926171339754054,0.7096737303172915,1.6073460263499773,1.2411683545168548,1.2619386924873237,-0.3166369930574118,1.1705768561683663,-0.0292580781856653,1.543170776461068,-0.12726051889534495,0.790299357987143,-0.47790210362007296,0.19247279974265621,0.03444722121324089,0.5655635359553602
531,1.1355147003187236,0.5144108652195628,2.3157895146833494,0.5145569000507908,1.576366649219469,1.2146716411758698,1.3710459295695014,-0.21958725164707799,1.3013412031074354,-0.04996041921061014,2.065241848367077,0.6100400605308313,0.9536703552174542,-0.9264343918802009,0.21061706036892955,0.03417385719933946,1.1485789344046702
532,0.8333183588132447,0.548978881440964,2.5210976070763804,0.3704865664166728,1.5229791830724413,1.0854525884935482,1.2773314314069728,0.4910367825539868,1.5121094135748279,0.3713653821665415,1.3702498230501101,-0.14845736014708413,0.869148338754358,-0.6072353392729901,0.2093126823634007,0.033479367541947115,1.2124780242837963
533,1.4156245983252758,0.5002084215433167,2.462260726437773,-0.23076843665326582,1.7069717225973753,1.1902297196960796,1.1070064603913643,-0.2671729523954845,1.3736932620455105,-0.082905025698096,2.036315929010005,0.7653398744089636,1.1558498350139934,-1.0375679814940044,0.19579677003990675,0.034879106075820836,1.1126842613382049
534,1.3455750472898869,0.6779478691453442,2.709415657509861,1.1167891097887341,2.1678063712412423,1.7998618920734961,1.6702384111131434,1.1273741537208715,2.9443229292786377,1.6453831797320824,3.00837698004294,1.2234951961911562,2.1520455874353654,-1.3023904325105702,-0.07270902289902459,0.0389993856647232,1.4706192468690464
535,2.129152611763613,1.2152497208138522,2.624433484226701,1.0020142835721702,1.9042820859620675,1.768014054823253,1.393759465466907,-0.0650614685125939,2.688046196172113,1.2487806310650884,2.9605001991816433,1.4484269662303466,2.088604158087641,-1.3099652392188756,-0.10287835850871924,0.043419016410199594,0.6198529404961031
536,1.3608048767637002,0.8979400397929359,2.8144496139077955,1.2912937859344389,2.0545678747389764,1.6308019960708704,1.7081395574140232,2.1327101044688606,2.7724588031552,1.6738704683052397,3.0033968083509146,1.548319905728998,1.8899294276348098,-1.5043714768340593,-0.07295813990719117,0.039246530308640254,0.9338279708705712
537,0.3376631125500905,0.4038657115398053,2.575507568351575,0.79535324886643,1.7594023174555273,1.386057363747169,1.528738091296168,0.45277650954472126,1.9787035720866877,0.5649911571660107,2.4792229290253736,0.4398763860762899,1.349060357999428,-0.9887873331004711,0.055599257351873876,0.036012878071160326,1.4424581605463676
538,0.3921700980897614,0.5724700370479997,2.5934829116990223,0.8108709718504692,1.7249129682913429,1.3516398400609377,1.5009386405713556,0.5760041954361333,1.9577648755844113,0.5477272863295547,2.358697585605153,0.6305123963126666,1.3422485346836852,-1.0986300147646288,0.1180173743338131,0.036018446467592724,1.2051916210576399
539,0.42916734696614306,0.4908182514304942,2.5734104564227978,1.0630040512017727,1.7063893105555956,1.5774507371443383,1.3569165057405275,0.573466807578553,1.8937254882107735,0.7843934942854268,2.517870739266554,0.6410658898126698,1.1373860544728858,-1.0428730346867547,0.07744825246893967,0.03499375695416807,1.220956899843585
540,1.4419974759005563,1.006628562706742,2.5736627390572657,0.2238657981677968,1.7379322992451283,1.104281962873292,1.4350237355783733,0.458692395554357,2.2203264697852836,0.4516451152498616,2.2460150283112355,1.2854484462776776,1.961013225484763,-1.412911198720103,0.1349532557143405,0.03282783398831086,0.9707224980762201
541,1.3655419766931312,0.8590644866606281,2.634037901372856,0.43576535094704105,1.7774564426240413,1.2222782581502685,1.3748545983964555,0.36285665433947534,2.0953956520324657,0.6015429156482136,2.347871323393057,1.238425767760983,1.6609400917629016,-1.3557704004123932,0.16499973201563198,0.03226834032412553,0.8278785918281005
542,1.5086477531949043,1.1686348045154695,2.680440782083334,0.8992884511935109,2.073738319898744,1.4581795652568061,1.604573756630467,0.33554202135191935,2.173527063326539,0.9809210504017963,2.2622083486405167,1.1437874745801402,1.578641284684141,-0.9822838457989586,0.06233903942600059,0.034159676925907996,0.45551963917346316
543,1.9192288446959518,1.0571632513723346,2.821749332070141,1.2098440772379788,2.184862934081626,1.694683967102641,1.807083574237476,1.659118268252773,2.631702254894577,1.6868990846255254,2.7310546564378626,1.428865237677984,1.9713537763898588,-1.396481126320889,0.05266736029702188,0.031011427227004847,0.8137346632251552
544,1.7033660957228023,0.7135914467237566,2.757149377777201,0.5786238916283029,1.4631469800086343,1.3894833067203118,1.353446296947149,0.7481519035880332,1.605985276715582,0.6000088494238357,1.8883940026572739,0.5288650757084029,1.0976468684470244,-0.6622044895160064,0.08438769451579761,0.03676592269069299,1.249389607741294
545,1.042164245861752,0.5667269735153319,2.2922081558576153,0.9140607353231635,1.8839733809363128,1.1609088051324392,1.2135304321695513,-0.10988714460142505,1.9442699446412794,0.31026775214105323,2.362637207108714,0.6665279845223564,1.4529268008915968,-1.1189082168069215,0.14144566288172777,0.037360488252176166,1.4440621977409216
546,1.1754366162509342,0.7332800844983841,2.244628425978599,0.9748495747042665,1.697490539287728,1.1037537997218145,1.2171127092081437,-0.17395893658085412,1.844025712029067,0.4172093390143838,2.0724392348356395,0.7960186414486933,1.6404556055775372,-0.9958267312710012,0.12736641019338646,0.03734547508381399,1.3017331505113976
547,1.9058215118836044,0.4022767645350324,2.6702392307402616,0.5190072959662279,1.5163602163957806,1.2347201256736922,1.1147831465975213,-0.015047012519674741,1.966526061084388,1.0213803063281948,2.595784354126393,0.7081234786545552,1.3790673671775788,-1.1014863608600653,0.10424551654007073,0.03811391376995173,0.9385915297212343
