Atoll,Site,Treatment,Fish Species,OtolithID,Otolith_weight,TL,FL,SL,Age,Radius,Annulus1
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,C9,0.0080,9.2,8.1,6.8,3,32718.773,18217.813
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,D1,0.0151,10.1,9.1,7.2,10,49168.637,13019.855
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D10,0.0102,8.9,8.1,6.5,6,37273.875,15130.159
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D11,0.0102,9.6,8.8,7.2,5,38055.453,15137.817
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,D12,0.0120,9.3,8,6.6,6,45161.098,13552.608
Peros Banhos,Ile Longue,No rats,Plectroglyphidodon lacrymatus,D2,0.0056,7.8,7,5.8,3,31622.760,17143.045
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D3,0.0086,9.2,8.4,6.8,4,40194.746,13385.616
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D4,0.0091,9.1,7.9,6.4,4,38715.934,16604.969
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D5,0.0089,8.8,7.9,6.7,4,38583.715,14834.326
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D6,0.0081,8.5,7.8,6.2,4,36290.543,17029.797
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D7,0.0100,9,8,6.5,4,37291.554,18039.241
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D8,0.0114,9,8,6.6,5,33603.012,14608.524
Peros Banhos,Grande Ile Coquillage,No rats,Plectroglyphidodon lacrymatus,D9,0.0095,8.5,7.8,6.2,4,39139.078,16344.977
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,E1,0.0101,9.6,8.2,6.8,5,42643.195,15586.732
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,E10,0.0086,8.7,7.7,6.2,3,36280.055,19242.066
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,E11,0.0088,8.6,7.7,6.1,3,40046.344,19219.709
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,E12,0.0124,8.3,7.3,6.2,7,47659.445,16097.218
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,E2,0.0085,9,8,6.3,3,38993.035,19715.826
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,E3,0.0115,9.2,8.1,6.4,5,42953.871,13850.748
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,E4,0.0097,9.2,8,6.5,3,38379.570,15434.255
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,E5,0.0115,8.6,7.4,6.2,5,41945.203,13986.203
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,E6,0.0098,8.6,7.4,6,3,34230.570,13826.850
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,E7,0.0031,6.6,5.7,4.7,2,21009.635,10802.479
Salomon,Ile de la Passe,No rats,Plectroglyphidodon lacrymatus,E8,0.0073,8.7,7.7,6.3,2,45230.254,25266.070
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,E9,0.0076,8.3,7.2,6,2,29881.947,12916.560
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,F1,0.0139,9.4,8.2,6.6,7,50613.582,14732.532
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,F10,0.0086,9,8.1,6.5,5,42123.438,16975.326
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,F11,0.0048,7.4,6.5,5.2,2,25394.043,12952.354
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,F12,0.0125,9.2,7.9,6.5,5,64911.000,21568.951
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,F2,0.0094,9.7,8.4,6.9,3,32093.604,13630.484
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,F3,0.0085,9.2,8.2,6.7,3,32458.941,14485.741
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,F4,0.0059,8.3,7.1,6.2,2,25226.773,16590.023
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,F5,0.0045,7.5,6.9,5.7,2,28086.871,15723.021
Salomon,Ile Fouquet,Rats,Plectroglyphidodon lacrymatus,F6,0.0083,9.2,8.3,6.6,3,40127.621,17080.219
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,F7,0.0110,9,8,6.5,4,41015.844,12881.938
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,F8,0.0088,9.1,8,6.5,3,32137.889,17061.814
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,F9,0.0087,9,8,6.5,3,33972.563,14130.901
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,G1,0.0084,8.6,7.5,6.1,3,37947.957,15536.785
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,G10,0.0133,10.4,9.2,7.6,5,49905.133,20370.164
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,G11,0.0098,9.3,8,6.6,3,43827.461,18209.645
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,G12,0.0091,9.5,8,4.7,3,44364.910,19039.896
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,G2,0.0107,9,8,6.6,5,45069.820,14321.551
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,G3,0.0045,7.2,6.5,5.1,3,29873.645,14883.305
Salomon,Sal Ile Anglaise,Rats,Plectroglyphidodon lacrymatus,G4,0.0049,7.4,6.5,5.2,3,29632.967,16100.306
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,G5,0.0096,10.2,9,7.1,4,54186.352,22437.096
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,G6,0.0132,10.2,9,7.2,6,52439.238,18444.270
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,G7,0.0127,10,8.9,7.3,6,39855.922,16293.297
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,G8,0.0113,10,9,7,4,40791.449,12851.094
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,G9,0.0147,9.9,8.8,7.2,6,49770.066,13518.397
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,H1,0.0170,10.4,9.1,7.4,8,56317.227,11166.827
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H10,0.0085,9.8,8.8,7,4,37829.238,14515.395
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H11,0.0094,9.6,8.4,6.8,3,41649.641,20450.381
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H12,0.0094,10.3,8.9,7.3,3,31410.236,15227.134
Great Chagos Bank,Middle Brother,No rats,Plectroglyphidodon lacrymatus,H2,0.0102,10.3,9,7.5,4,38772.711,13910.321
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H3,0.0096,10.2,8.9,7.1,3,32219.607,11921.799
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H4,0.0101,10,8.9,7.3,4,47435.801,19797.023
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H5,0.0090,9.8,8.6,7.1,4,33529.602,12881.938
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H6,0.0090,10,8.9,7.3,3,34913.680,16814.791
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H7,0.0107,10.4,9.3,7.6,5,42613.316,12415.149
Great Chagos Bank,South Brother,No rats,Plectroglyphidodon lacrymatus,H8,0.0090,10,8.7,7.1,5,36368.387,11730.212
