,Mean_biomass,Island_biomass__0,Island_biomass__1,Island_biomass__2,Island_biomass__3,Island_biomass__4,Island_biomass__5,Island_biomass__6,Island_biomass__7,Island_biomass__8,Island_biomass__9,Island_biomass__10,Island_biomass__11,Rat_effect,Structure,Hard_coral,Island_SD,Obs_sigma
661,2.13903791318295,2.8762721728496516,0.7295351494088111,1.519128360571961,2.581308055658953,3.4187515028426385,3.797762018731943,1.6482154875227957,1.2395851099527015,2.5405426433643146,2.7050531123601704,0.3996094569498729,0.9543408308217666,-1.5714202290385757,-0.48855318319182534,0.04452274471537292,1.3872679999426725,0.8976808668062864
662,2.2697928278053845,2.478791427441179,1.430472878571328,2.1688664127534096,2.554831392297208,4.09280094131124,2.7754953975334105,2.306920541078373,0.39137125603312073,1.9355362612173417,2.414892171457741,1.2887477959934552,0.6409263497356743,-0.18053994258927233,-0.3737280291775019,0.014357565726061958,1.188586307414388,0.6931951230698039
663,2.1367656978985785,3.3144375549813576,0.6585651434575971,2.064360380768542,2.985350805247936,4.320383958888089,3.8829273677731297,2.7833189195536967,0.4715583940808257,2.6638317500428,2.1889226035208824,0.7349187744618898,1.2975928026289616,-1.3887057381594319,-0.2596123316180491,0.02893149604140519,1.1308774005846889,0.82866846174885
664,2.356738187851593,3.148347226524521,0.3896203608991448,2.2103281227361733,2.7730605695695094,4.358658794544469,4.0514551933311385,2.4203473880804016,1.1920447555611653,3.226125048531444,2.506860125323472,0.9633542545398639,1.3377497677794452,-1.1387847194256784,-0.060388931731996554,0.033966006477704605,1.2747627232886696,0.8032786867669428
665,2.0066147149563514,2.2082182321131087,1.481052924697962,1.4545125597266195,2.4006262647815286,3.263432996767728,3.4426015889738943,2.477211105081285,0.9360235873274595,2.815246259995707,1.7692089554815167,0.2898132182851182,0.8574521329360159,-1.0822649074413855,-0.6983507109707374,0.03160334077279732,0.9488331984488227,0.7900575016917158
666,1.9096629257028925,1.9590943321378067,0.41463881485216925,1.5855114394265448,3.55007196991743,3.342717345447157,3.2803124570950675,1.9661803238702389,0.6637511485743562,2.4953972505643462,2.2088206686730385,0.9708350871510983,0.32054700788067453,-0.7244107819735648,-0.38093937680152484,0.02265813942306139,1.1161720790855725,1.0217462915102764
667,2.3594213627406924,3.875695085312467,1.453603394413977,2.031338666206224,2.216114023129839,3.199142297904591,3.269304708200816,2.6052705418687583,1.3061762808016197,3.7017563178993167,2.7298862086168474,0.5445449708816054,0.430288146229425,-2.1514598346979175,0.5308446634969926,0.0370165826976476,1.2635460446420284,1.0127300565186725
668,1.6388769023552792,4.7034550162414055,0.939422854009612,2.0261726995323643,2.479735477260336,3.1178401821462622,3.6828057943209735,1.839143247211129,1.1349695519863854,3.1247313595817734,1.6072510243855291,0.3079837044859873,0.5218205027051038,-1.103958413246683,0.1854928804422087,0.035787863443008584,1.4416042926745158,1.0165662785044012
669,2.6524708331032634,3.0321131902576024,1.4084617507559571,2.4379168601977077,2.664756294910632,4.103446914238666,3.354862251047067,2.4879905545152914,1.312362615271174,2.319873550879524,1.4017338231882146,0.39864040394177813,1.160870376919426,-0.7761195568585505,-0.20789424346857444,0.015038388843213969,1.035439089765976,0.8017481756600683
670,2.280602449667502,2.470528344467699,0.9830474994742238,1.3792619191171291,2.7299477166597823,4.079242317791676,3.742360471159759,2.8773948667192784,1.3507482112924094,2.11868796676655,2.2294885993446694,1.0144540892257161,1.2126786861681436,-0.2867385334465438,-0.7354102456099149,0.010610428642614607,1.3766127277521956,0.7400198988134422
671,0.883609121802796,1.4358287013088544,-0.13604514281067193,0.8112691599320332,2.4910314185344475,3.4715068167168357,2.240148420708279,2.2971506361599903,-0.945957469786307,1.4079923576123452,0.1914693317182561,-0.6876882009342132,-0.6473448153992838,0.46721275961581415,-0.8642970264194931,0.04933740835848977,1.911409409195655,0.774115982749635
672,1.8476732937766651,2.677752330370337,1.3785506462850206,1.9826600235943486,2.1959814235699264,3.1657968315896485,2.696363988144545,1.8706038305806427,0.29363120482652727,2.496373244610725,1.7155846037231786,1.056966126006496,1.0982471183632125,-0.43958107798671686,-0.36333176407332285,0.031674026501356194,0.6538642739598357,0.8832234426987958
673,2.7409345662304987,3.57061979561081,0.8881085483568885,1.7340245073918348,2.568175464431716,3.5363813923407146,4.122142983754545,2.831010320638791,1.112351229541422,3.6754674125293665,2.655981159159921,0.9046031158462035,1.658429198446893,-1.3801991179398039,-0.7285194026450201,0.026087972174265613,1.4144026550275561,0.7535262919549961
674,2.7860758900727665,3.3822249878243054,0.8554522892672796,1.9695635769126485,2.8534335281616383,3.830302989777719,4.3083953977656035,2.977876010842349,2.5982785728688476,2.9077346698074025,2.8034240612320396,0.7597522378938967,1.4105780533720726,-1.2992457637165897,-0.4148926720810194,0.01965678207993023,1.4436394314807968,0.793145981379475
675,2.3694874220508777,2.635944050971251,0.9811707275476559,2.1867543768744886,2.71802664409696,3.5898874795755704,2.771679857426687,2.921617078040399,0.7816787556954814,2.2069149834430055,1.7277000429015887,0.9306362981027161,0.9391443104056374,-0.4348845632303428,-0.576561623588338,0.025554415731239146,0.9867705586684163,0.9038646536998025
676,2.1523209160157193,3.2174173050812027,1.2478055992215744,2.132616730462134,3.315522062456001,3.7177739990272527,3.0440994895258955,2.9202456863850585,1.1344521923995123,2.196725859854792,2.3478506946901647,1.1646730511491468,0.9226404560475713,-0.5229022736232076,0.03793100058779517,0.016711556203795355,0.8804958099048126,0.7006371169957133
677,2.4576974609449267,2.4113290522588238,1.2983893180513466,2.209197152066245,2.7378078284479215,4.778329301292334,3.1727382308794883,2.5736252069458905,0.9524697877556539,2.142092204237564,2.4374715062732935,1.3684974847249927,0.6871641445972875,0.23994996480117634,-0.4731101566658487,0.0022111822095876896,1.5563801232332504,0.6996912081170341
678,1.9756599436153115,2.5671066125122137,1.1585753713471787,1.617829879984436,2.7209107717253533,4.148594657254272,3.014227705228062,2.5824135140652373,0.9553937774795414,1.95682244546563,2.167168485159272,-0.5454625100174672,0.4402467945463098,-0.512988468193076,-0.8801606131211168,0.03590988895960916,1.2850454406201333,0.7930365640918791
